X,Y,FWHM,FWHM Error
6670.480059,-17215.8043,8.516509,0.100313
6720.480059,-17215.8043,8.61992,0.105958
6770.480059,-17215.8043,9.62704,0.115647
6820.480059,-17215.8043,9.904231,0.113345
6870.480059,-17215.8043,9.23141,0.113518
6920.480059,-17215.8043,8.873699,0.113992
6970.480059,-17215.8043,8.3392,0.113106
7020.480059,-17215.8043,7.849505,0.111521
7070.480059,-17215.8043,8.108873,0.115498
7120.480059,-17215.8043,7.51035,0.107532
7170.480059,-17215.8043,6.869745,0.096474
7220.480059,-17215.8043,7.216828,0.111447
7270.480059,-17215.8043,8.915664,0.136087
7320.480059,-17215.8043,10.082358,0.116628
7370.480059,-17215.8043,10.126803,0.099612
7420.480059,-17215.8043,11.13924,0.087492
7470.480059,-17215.8043,11.874233,0.099748
7520.480059,-17215.8043,11.027635,0.100561
7570.480059,-17215.8043,9.551093,0.115164
7620.480059,-17215.8043,8.604958,0.120895
7670.480059,-17215.8043,8.975556,0.119145
7720.480059,-17215.8043,9.138771,0.111999
7770.480059,-17215.8043,8.459282,0.111746
7820.480059,-17215.8043,8.14401,0.1145
7870.480059,-17215.8043,8.614181,0.119554
7920.480059,-17215.8043,9.052357,0.121797
7970.480059,-17215.8043,9.704657,0.121895
8020.480059,-17215.8043,9.583216,0.128113
8070.480059,-17215.8043,8.338164,0.130971
8120.480059,-17215.8043,7.836646,0.12267
8170.480059,-17215.8043,8.098052,0.115601
8220.480059,-17215.8043,8.591313,0.112251
8270.480059,-17215.8043,9.683211,0.11345
8320.480059,-17215.8043,10.418422,0.105207
8370.480059,-17215.8043,9.345367,0.118439
8420.480059,-17215.8043,8.351965,0.121347
8470.480059,-17215.8043,8.450898,0.122639
8520.480059,-17215.8043,9.528355,0.120685
8570.480059,-17215.8043,10.525255,0.106579
8620.480059,-17215.8043,9.743709,0.102428
8670.480059,-17215.8043,8.454847,0.117684
8720.480059,-17215.8043,8.207146,0.129582
8770.480059,-17215.8043,8.435552,0.129717
8820.480059,-17215.8043,8.262054,0.125911
8870.480059,-17215.8043,8.269483,0.132666
8920.480059,-17215.8043,8.315815,0.135134
8970.480059,-17215.8043,8.475479,0.124692
9020.480059,-17215.8043,8.346872,0.121054
9070.480059,-17215.8043,7.96902,0.121566
9120.480059,-17215.8043,8.567801,0.128078
9170.480059,-17215.8043,10.159579,0.122612
9220.480059,-17215.8043,10.127739,0.113777
9270.480059,-17215.8043,8.996172,0.11546
9320.480059,-17215.8043,9.732526,0.114816
9370.480059,-17215.8043,10.952779,0.124772
9420.480059,-17215.8043,10.312845,0.133859
9470.480059,-17215.8043,9.381361,0.12695
9520.480059,-17215.8043,9.361373,0.124145
9570.480059,-17215.8043,9.612112,0.119479
9620.480059,-17215.8043,9.242171,0.124704
9670.480059,-17215.8043,8.781598,0.134293
6420.480059,-17165.8043,7.180655,0.098111
6470.480059,-17165.8043,8.086654,0.109307
6520.480059,-17165.8043,9.409762,0.105876
6570.480059,-17165.8043,10.001586,0.094684
6620.480059,-17165.8043,9.138455,0.098685
6670.480059,-17165.8043,7.888317,0.099002
6720.480059,-17165.8043,7.768063,0.103574
6770.480059,-17165.8043,8.366914,0.113136
6820.480059,-17165.8043,8.509928,0.114389
6870.480059,-17165.8043,8.737213,0.114778
6920.480059,-17165.8043,9.450596,0.113219
6970.480059,-17165.8043,9.319119,0.113253
7020.480059,-17165.8043,8.244896,0.11286
7070.480059,-17165.8043,7.963247,0.113435
7120.480059,-17165.8043,7.768095,0.113294
7170.480059,-17165.8043,7.567566,0.112429
7220.480059,-17165.8043,8.204166,0.125797
7270.480059,-17165.8043,9.670533,0.132231
7320.480059,-17165.8043,9.555235,0.119949
7370.480059,-17165.8043,8.907352,0.108368
7420.480059,-17165.8043,9.318959,0.102191
7470.480059,-17165.8043,9.559568,0.109212
7520.480059,-17165.8043,9.009093,0.119035
7570.480059,-17165.8043,8.522498,0.117506
7620.480059,-17165.8043,8.148142,0.113956
7670.480059,-17165.8043,7.955799,0.112345
7720.480059,-17165.8043,7.820799,0.109784
7770.480059,-17165.8043,7.977263,0.110035
7820.480059,-17165.8043,8.554475,0.115956
7870.480059,-17165.8043,9.628146,0.112427
7920.480059,-17165.8043,10.450403,0.098904
7970.480059,-17165.8043,10.577037,0.102431
8020.480059,-17165.8043,9.545916,0.125945
8070.480059,-17165.8043,8.134706,0.131894
8120.480059,-17165.8043,7.458106,0.12047
8170.480059,-17165.8043,7.522764,0.109242
8220.480059,-17165.8043,8.256224,0.108387
8270.480059,-17165.8043,10.030411,0.106904
8320.480059,-17165.8043,10.7811,0.098878
8370.480059,-17165.8043,9.388885,0.115807
8420.480059,-17165.8043,8.343857,0.115006
8470.480059,-17165.8043,8.538731,0.115846
8520.480059,-17165.8043,9.975906,0.112312
8570.480059,-17165.8043,11.199097,0.097221
8620.480059,-17165.8043,10.636667,0.094153
8670.480059,-17165.8043,9.194706,0.117721
8720.480059,-17165.8043,8.150829,0.128006
8770.480059,-17165.8043,8.04545,0.125811
8820.480059,-17165.8043,8.04798,0.121664
8870.480059,-17165.8043,8.45957,0.127367
8920.480059,-17165.8043,8.622019,0.129686
8970.480059,-17165.8043,8.114526,0.118539
9020.480059,-17165.8043,7.678862,0.114242
9070.480059,-17165.8043,7.657808,0.11997
9120.480059,-17165.8043,9.2489,0.135074
9170.480059,-17165.8043,11.44306,0.115553
9220.480059,-17165.8043,10.849065,0.113962
9270.480059,-17165.8043,9.4664,0.124348
9320.480059,-17165.8043,10.156137,0.119671
9370.480059,-17165.8043,11.112564,0.11931
9420.480059,-17165.8043,10.768605,0.12791
9470.480059,-17165.8043,9.949786,0.121737
9520.480059,-17165.8043,9.953206,0.111375
